X,Y,OBJECTID,EVENT_UNIQUE_ID,OCC_DATE,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOW,OCC_DOY,DIVISION,HOMICIDE_TYPE,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84
-8830512.65,5425812.559,101,GO-20051070618,2005/07/20 04:00:00+00,2005,July,20,Wednesday,201,D33,Other,149,Parkwoods-O'Connor Hills,45,Parkwoods-Donalda (45),-79.3258448,43.74336318
-8829390.308,5434045.067,102,GO-20051033503,2005/07/30 04:00:00+00,2005,July,30,Saturday,211,D42,Shooting,148,East L'Amoreaux,117,L'Amoreaux (117),-79.31576263,43.79676688
-8843333.734,5422231.91,103,GO-20051135001,2005/07/30 04:00:00+00,2005,July,30,Saturday,211,D31,Shooting,32,Englemount-Lawrence,32,Englemount-Lawrence (32),-79.44101856,43.72012088
-8836626.179,5412598.472,104,GO-20051148137,2005/07/31 04:00:00+00,2005,July,31,Sunday,212,D52,Shooting,168,Downtown Yonge East,75,Church-Yonge Corridor (75),-79.38076357,43.65754464
-8859095.256,5424364.341,105,GO-20051041793,2005/08/03 04:00:00+00,2005,August,3,Wednesday,215,D23,Shooting,2,Mount Olive-Silverstone-Jamestown,2,Mount Olive-Silverstone-Jamestown (2),-79.58260672,43.73396376
-8831323.474,5434261.373,106,GO-20051102449,2005/08/05 04:00:00+00,2005,August,5,Friday,217,D42,Shooting,147,L'Amoreaux West,117,L'Amoreaux (117),-79.33312856,43.7981694
-8836042.06,5413858.761,107,GO-20051068304,2005/08/07 04:00:00+00,2005,August,7,Sunday,219,D51,Shooting,71,Cabbagetown-South St.James Town,71,Cabbagetown-South St.James Town (71),-79.37551634,43.66573486
-8836042.06,5413858.761,108,GO-20051068304,2005/08/07 04:00:00+00,2005,August,7,Sunday,219,D51,Shooting,71,Cabbagetown-South St.James Town,71,Cabbagetown-South St.James Town (71),-79.37551634,43.66573486
-8852191.065,5418488.71,109,GO-2005985817,2005/08/13 04:00:00+00,2005,August,13,Saturday,225,D23,Shooting,8,Humber Heights-Westmount,8,Humber Heights-Westmount (8),-79.52058531,43.69581381
-8835948.991,5414067.047,110,GO-20051156816,2005/08/15 04:00:00+00,2005,August,15,Monday,227,D51,Shooting,71,Cabbagetown-South St.James Town,71,Cabbagetown-South St.James Town (71),-79.37468029,43.66708833
-8831526.651,5422016.797,111,GO-20051072514,2005/08/16 04:00:00+00,2005,August,16,Tuesday,228,D54,Shooting,44,Flemingdon Park,44,Flemingdon Park (44),-79.33495372,43.71872428
-8823919.979,5428086.161,112,GO-2005117846,2005/08/18 04:00:00+00,2005,August,18,Thursday,230,D41,Other,156,Bendale-Glen Andrew,127,Bendale (127),-79.26662183,43.75811664
